LF,flow_x,flow_y,flow_z,parcel_size,dom_x,dom_y,dom_z,quads,rk_order,ftts,cost,rho
lf-1/lf234,64,16,32,10,32,8,16,50,4,3,13942.887,0.919551254
lf-1/lf235,64,16,32,10,32,8,8,86,4,3,13043.694,0.9181221785
lf-1/lf236,64,16,32,10,32,8,8,50,4,3,13439.146,0.9080827751
lf-1/lf237,64,16,32,10,0,0,0,0,4,3,10769.857,0.9362234504
lf-1/lf238,64,16,16,100,64,16,16,86,4,3,14384.43,0.8260218161
lf-1/lf239,64,16,16,100,64,16,16,50,4,3,20659.042,0.8747551563
lf-1/lf240,64,16,16,100,64,16,8,86,4,3,14182.431,0.8490522594
lf-1/lf241,64,16,16,100,64,16,8,50,4,3,14253.484,0.9068403302
lf-1/lf242,64,16,16,100,64,8,16,86,4,3,13852.885,0.9149574069
lf-1/lf243,64,16,16,100,64,8,16,50,4,3,14382.416,0.8361286809
lf-1/lf244,64,16,16,100,64,8,8,86,4,3,14043.809,0.8443815195
lf-1/lf245,64,16,16,100,64,8,8,50,4,3,14285.025,0.8591969403
lf-1/lf246,64,16,16,100,32,16,16,86,4,3,13368.377,0.8146578724
lf-1/lf247,64,16,16,100,32,16,16,50,4,3,13547.529,0.8549783152
lf-1/lf248,64,16,16,100,32,16,8,86,4,3,13107.718,0.8392319082
lf-1/lf249,64,16,16,100,32,16,8,50,4,3,13442.292,0.8678059064
lf-1/lf250,64,16,16,100,32,8,16,86,4,3,13058.167,0.83508526
lf-1/lf251,64,16,16,100,32,8,16,50,4,3,13651.965,0.8279610613
lf-1/lf252,64,16,16,100,32,8,8,86,4,3,13039.703,0.866051392
lf-1/lf253,64,16,16,100,32,8,8,50,4,3,13222.699,0.8588834516
lf-1/lf254,64,16,16,100,0,0,0,0,4,3,10434.958,0.7971874147
lf-1/lf255,64,16,16,10,64,16,16,86,4,3,14498.305,0.8451937146
lf-1/lf256,64,16,16,10,64,16,16,50,4,3,16575.742,0.8835176153
lf-1/lf257,64,16,16,10,64,16,8,86,4,3,14282.586,0.8421879244
lf-1/lf258,64,16,16,10,64,16,8,50,4,3,14752.404,0.8950372021
lf-1/lf259,64,16,16,10,64,8,16,86,4,3,14412.465,0.8977697539
lf-1/lf260,64,16,16,10,64,8,16,50,4,3,14359.627,0.8731895208
lf-1/lf261,64,16,16,10,64,8,8,86,4,3,14657.263,0.8215094131
lf-1/lf262,64,16,16,10,64,8,8,50,4,3,14504.098,0.8331456279
lf-1/lf263,64,16,16,10,32,16,16,86,4,3,13895.484,0.883156473
lf-1/lf264,64,16,16,10,32,16,16,50,4,3,13797.57,0.8651682323
lf-1/lf265,64,16,16,10,32,16,8,86,4,3,13513.899,0.8608239255
lf-1/lf266,64,16,16,10,32,16,8,50,4,3,13758.738,0.8856783888
lf-1/lf267,64,16,16,10,32,8,16,86,4,3,13584.4,0.8347653335
lf-1/lf268,64,16,16,10,32,8,16,50,4,3,13576.754,0.8796205045
lf-1/lf269,64,16,16,10,32,8,8,86,4,3,13234.824,0.8515575213
lf-1/lf270,64,16,16,10,32,8,8,50,4,3,13584.114,0.8825915478
lf-1/lf271,64,16,16,10,0,0,0,0,4,3,10971.383,0.8591815004
lf-2/lf0,128,32,32,100,64,16,16,86,4,2,17606.1573333333,0.8725917132
lf-2/lf1,128,32,32,100,64,16,16,50,4,2,20094.712,0.8678895994
lf-2/lf2,128,32,32,100,64,16,8,86,4,2,17221.9833333333,0.8702942095
lf-2/lf3,128,32,32,100,64,16,8,50,4,2,17275.468,0.8662147513
lf-2/lf4,128,32,32,100,64,8,16,86,4,2,17372.8293333333,0.8625360589
lf-2/lf5,128,32,32,100,64,8,16,50,4,2,17404.7373333333,0.877562382
lf-2/lf6,128,32,32,100,64,8,8,86,4,2,17349.3093333333,0.8679335583
lf-2/lf7,128,32,32,100,64,8,8,50,4,2,17330.8793333333,0.8565947198
lf-2/lf8,128,32,32,100,32,16,16,86,4,2,16763.2313333333,0.8893759729
lf-2/lf9,128,32,32,100,32,16,16,50,4,2,16633.658,0.9028363336
lf-2/lf10,128,32,32,100,32,16,8,86,4,2,16879.3333333333,0.8850632583
lf-2/lf11,128,32,32,100,32,16,8,50,4,2,16424.2846666667,0.8611429028
lf-2/lf12,128,32,32,100,32,8,16,86,4,2,16772.558,0.8938578937
lf-2/lf13,128,32,32,100,32,8,16,50,4,2,16885.3573333333,0.8605751044
lf-2/lf14,128,32,32,100,32,8,8,86,4,2,16695.6033333333,0.8732044093
lf-2/lf15,128,32,32,100,32,8,8,50,4,2,16967.3966666667,0.8717413203
lf-2/lf16,128,32,32,100,0,0,0,0,4,2,14691.9993333333,0.8851012169
lf-2/lf17,128,32,32,10,64,16,16,86,4,2,17937.1726666667,0.9297583515
lf-2/lf18,128,32,32,10,64,16,16,50,4,2,18541.9626666667,0.9339154521
lf-2/lf19,128,32,32,10,64,16,8,86,4,2,17539.0893333333,0.9376061346
lf-2/lf20,128,32,32,10,64,16,8,50,4,2,17879.3013333333,0.9266100043
lf-2/lf21,128,32,32,10,64,8,16,86,4,2,17556.742,0.9332301429
lf-2/lf22,128,32,32,10,64,8,16,50,4,2,18306.294,0.922434609
lf-2/lf23,128,32,32,10,64,8,8,86,4,2,17559.6653333333,0.9266371153
lf-2/lf24,128,32,32,10,64,8,8,50,4,2,17629.904,0.9416440874
lf-2/lf25,128,32,32,10,32,16,16,86,4,2,17201.918,0.9494858463
lf-2/lf26,128,32,32,10,32,16,16,50,4,2,17183.094,0.9351136808
lf-2/lf27,128,32,32,10,32,16,8,86,4,2,17025.4046666667,0.9478170735
lf-2/lf28,128,32,32,10,32,16,8,50,4,2,17029.4346666667,0.9311036772
lf-2/lf29,128,32,32,10,32,8,16,86,4,2,16975.8013333333,0.9301689244
lf-2/lf30,128,32,32,10,32,8,16,50,4,2,18283.018,0.9118414254
lf-2/lf31,128,32,32,10,32,8,8,86,4,2,17069.2873333333,0.9300479106
lf-2/lf32,128,32,32,10,32,8,8,50,4,2,16859.5633333333,0.9305189331
lf-2/lf33,128,32,32,10,0,0,0,0,4,2,14687.13,0.9304043367
lf-2/lf34,128,32,16,100,64,16,16,86,4,2,17153.9606666667,0.89114356
lf-2/lf35,128,32,16,100,64,16,16,50,4,2,20221.5326666667,0.9237099773
lf-2/lf36,128,32,16,100,64,16,8,86,4,2,16840.336,0.8688861894
lf-2/lf37,128,32,16,100,64,16,8,50,4,2,16803.6066666667,0.9204294776
lf-2/lf38,128,32,16,100,64,8,16,86,4,2,17155.3553333333,0.903328449
lf-2/lf39,128,32,16,100,64,8,16,50,4,2,17159.5666666667,0.9101073151
lf-2/lf40,128,32,16,100,64,8,8,86,4,2,17386.256,0.899039322
lf-2/lf41,128,32,16,100,64,8,8,50,4,2,17369.444,0.9190187357
lf-2/lf42,128,32,16,100,32,16,16,86,4,2,16407.5013333333,0.8852070955
lf-2/lf43,128,32,16,100,32,16,16,50,4,2,16180.732,0.9071307717
lf-2/lf44,128,32,16,100,32,16,8,86,4,2,16274.9593333333,0.9093491662
lf-2/lf45,128,32,16,100,32,16,8,50,4,2,16549.1486666667,0.8965014745
lf-2/lf46,128,32,16,100,32,8,16,86,4,2,16379.1966666667,0.9140320933
lf-2/lf47,128,32,16,100,32,8,16,50,4,2,16578.2673333333,0.8788136608
lf-2/lf48,128,32,16,100,32,8,8,86,4,2,15969.588,0.9041653785
lf-2/lf49,128,32,16,100,32,8,8,50,4,2,16329.3673333333,0.9158460203
lf-2/lf50,128,32,16,100,0,0,0,0,4,2,14256.8893333333,0.8848349939
lf-2/lf51,128,32,16,10,64,16,16,86,4,2,17531.0133333333,0.9345019854
lf-2/lf52,128,32,16,10,64,16,16,50,4,2,18278.7046666667,0.9357156789
lf-2/lf53,128,32,16,10,64,16,8,86,4,2,17288.928,0.9461761595
lf-2/lf54,128,32,16,10,64,16,8,50,4,2,17207.8853333333,0.9392230027
lf-2/lf55,128,32,16,10,64,8,16,86,4,2,17219.7713333333,0.9318478044
lf-2/lf56,128,32,16,10,64,8,16,50,4,2,17511.284,0.9523226697
lf-2/lf57,128,32,16,10,64,8,8,86,4,2,17339.8693333333,0.9412267386
lf-2/lf58,128,32,16,10,64,8,8,50,4,2,17261.41,0.9170402905
